,Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
101,Source,384PP_AQ_BP2,A01,Destination,E19,60.0
102,Source,384PP_AQ_BP2,A01,Destination,E20,60.0
103,Source,384PP_AQ_BP2,A01,Destination,E21,60.0
104,Source,384PP_AQ_BP2,A01,Destination,E22,60.0
105,Source,384PP_AQ_BP2,A01,Destination,E23,60.0
106,Source,384PP_AQ_BP2,A01,Destination,E24,60.0
107,Source,384PP_AQ_BP2,A01,Destination,F24,60.0
108,Source,384PP_AQ_BP2,A01,Destination,F23,60.0
109,Source,384PP_AQ_BP2,A01,Destination,F22,60.0
110,Source,384PP_AQ_BP2,A01,Destination,F21,60.0
111,Source,384PP_AQ_BP2,A01,Destination,F20,60.0
112,Source,384PP_AQ_BP2,A01,Destination,F19,60.0
113,Source,384PP_AQ_BP2,A01,Destination,F18,60.0
114,Source,384PP_AQ_BP2,A01,Destination,F17,60.0
115,Source,384PP_AQ_BP2,A01,Destination,F16,60.0
116,Source,384PP_AQ_BP2,A01,Destination,F15,60.0
117,Source,384PP_AQ_BP2,A01,Destination,F14,60.0
118,Source,384PP_AQ_BP2,A01,Destination,F13,60.0
119,Source,384PP_AQ_BP2,A01,Destination,F12,60.0
120,Source,384PP_AQ_BP2,A01,Destination,F11,60.0
121,Source,384PP_AQ_BP2,A01,Destination,F10,60.0
122,Source,384PP_AQ_BP2,A01,Destination,F09,60.0
123,Source,384PP_AQ_BP2,A01,Destination,F08,60.0
124,Source,384PP_AQ_BP2,A01,Destination,F07,60.0
125,Source,384PP_AQ_BP2,A01,Destination,F06,60.0
126,Source,384PP_AQ_BP2,A01,Destination,F05,60.0
127,Source,384PP_AQ_BP2,A01,Destination,F04,60.0
128,Source,384PP_AQ_BP2,A01,Destination,F03,60.0
129,Source,384PP_AQ_BP2,A01,Destination,F02,60.0
130,Source,384PP_AQ_BP2,A01,Destination,F01,60.0
131,Source,384PP_AQ_BP2,A01,Destination,G01,60.0
132,Source,384PP_AQ_BP2,A01,Destination,G02,60.0
