,Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
101,Source,384PP_AQ_BP2,A16,Destination,A14,517.5
102,Source,384PP_AQ_BP2,A18,Destination,A14,310.0
103,Source,384PP_AQ_BP2,A20,Destination,A14,295.0
104,Source,384PP_AQ_BP2,A21,Destination,A14,2.5
105,Source,384PP_AQ_BP2,A23,Destination,A14,1222.5
106,Source,384PP_AQ_BP2,A03,Destination,A15,5.0
107,Source,384PP_AQ_BP2,A04,Destination,A15,100.0
108,Source,384PP_AQ_BP2,A09,Destination,A15,50.0
109,Source,384PP_AQ_BP2,A12,Destination,A15,592.5
110,Source,384PP_AQ_BP2,A14,Destination,A15,52.5
111,Source,384PP_AQ_BP2,A15,Destination,A15,22.5
112,Source,384PP_AQ_BP2,A16,Destination,A15,690.0
113,Source,384PP_AQ_BP2,A18,Destination,A15,220.0
114,Source,384PP_AQ_BP2,A20,Destination,A15,332.5
115,Source,384PP_AQ_BP2,A21,Destination,A15,5.0
116,Source,384PP_AQ_BP2,A23,Destination,A15,1427.5
117,Source,384PP_AQ_BP2,A03,Destination,A16,5.0
118,Source,384PP_AQ_BP2,A04,Destination,A16,55.0
119,Source,384PP_AQ_BP2,A12,Destination,A16,790.0
120,Source,384PP_AQ_BP2,A14,Destination,A16,105.0
121,Source,384PP_AQ_BP2,A15,Destination,A16,27.5
122,Source,384PP_AQ_BP2,A16,Destination,A16,1727.5
123,Source,384PP_AQ_BP2,A18,Destination,A16,397.5
124,Source,384PP_AQ_BP2,A20,Destination,A16,185.0
125,Source,384PP_AQ_BP2,A21,Destination,A16,2.5
126,Source,384PP_AQ_BP2,A23,Destination,A16,200.0
127,Source,384PP_AQ_BP2,A03,Destination,A17,27.5
128,Source,384PP_AQ_BP2,A04,Destination,A17,277.5
129,Source,384PP_AQ_BP2,A23,Destination,A17,2000.0
130,Source,384PP_AQ_BP2,A23,Destination,A17,2000.0
131,Source,384PP_AQ_BP2,A23,Destination,A17,960.0
132,Source,384PP_AQ_BP2,A03,Destination,A18,7.5
133,Source,384PP_AQ_BP2,A04,Destination,A18,100.0
134,Source,384PP_AQ_BP2,A09,Destination,A18,32.5
135,Source,384PP_AQ_BP2,A12,Destination,A18,592.5
136,Source,384PP_AQ_BP2,A14,Destination,A18,185.0
137,Source,384PP_AQ_BP2,A15,Destination,A18,32.5
138,Source,384PP_AQ_BP2,A16,Destination,A18,517.5
139,Source,384PP_AQ_BP2,A18,Destination,A18,310.0
140,Source,384PP_AQ_BP2,A20,Destination,A18,295.0
141,Source,384PP_AQ_BP2,A21,Destination,A18,2.5
142,Source,384PP_AQ_BP2,A23,Destination,A18,1420.0
143,Source,384PP_AQ_BP2,A03,Destination,A19,27.5
144,Source,384PP_AQ_BP2,A04,Destination,A19,277.5
145,Source,384PP_AQ_BP2,A23,Destination,A19,2000.0
146,Source,384PP_AQ_BP2,A23,Destination,A19,2000.0
147,Source,384PP_AQ_BP2,A23,Destination,A19,960.0
148,Source,384PP_AQ_BP2,A03,Destination,A20,5.0
149,Source,384PP_AQ_BP2,A04,Destination,A20,67.5
150,Source,384PP_AQ_BP2,A09,Destination,A20,37.5
151,Source,384PP_AQ_BP2,A12,Destination,A20,1382.5
152,Source,384PP_AQ_BP2,A14,Destination,A20,185.0
153,Source,384PP_AQ_BP2,A15,Destination,A20,45.0
154,Source,384PP_AQ_BP2,A16,Destination,A20,690.0
155,Source,384PP_AQ_BP2,A18,Destination,A20,132.5
156,Source,384PP_AQ_BP2,A20,Destination,A20,147.5
157,Source,384PP_AQ_BP2,A21,Destination,A20,5.0
158,Source,384PP_AQ_BP2,A23,Destination,A20,797.5
159,Source,384PP_AQ_BP2,A03,Destination,A21,5.0
160,Source,384PP_AQ_BP2,A04,Destination,A21,100.0
161,Source,384PP_AQ_BP2,A09,Destination,A21,50.0
162,Source,384PP_AQ_BP2,A12,Destination,A21,592.5
163,Source,384PP_AQ_BP2,A14,Destination,A21,52.5
164,Source,384PP_AQ_BP2,A15,Destination,A21,27.5
165,Source,384PP_AQ_BP2,A16,Destination,A21,690.0
