,Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
100,Source,384PP_AQ_BP2,A09,Destination,A11,37.5
101,Source,384PP_AQ_BP2,A10,Destination,A11,552.5
102,Source,384PP_AQ_BP2,A12,Destination,A11,395.0
103,Source,384PP_AQ_BP2,A14,Destination,A11,160.0
104,Source,384PP_AQ_BP2,A15,Destination,A11,32.5
105,Source,384PP_AQ_BP2,A16,Destination,A11,690.0
106,Source,384PP_AQ_BP2,A18,Destination,A11,442.5
107,Source,384PP_AQ_BP2,A19,Destination,A11,110.0
108,Source,384PP_AQ_BP2,A20,Destination,A11,257.5
109,Source,384PP_AQ_BP2,A21,Destination,A11,2.5
110,Source,384PP_AQ_BP2,A22,Destination,A11,1395.0
111,Source,384PP_AQ_BP2,A22,Destination,A12,2000.0
112,Source,384PP_AQ_BP2,A22,Destination,A12,2000.0
113,Source,384PP_AQ_BP2,A22,Destination,A12,1265.0
114,Source,384PP_AQ_BP2,A03,Destination,A13,27.5
115,Source,384PP_AQ_BP2,A04,Destination,A13,277.5
116,Source,384PP_AQ_BP2,A22,Destination,A13,2000.0
117,Source,384PP_AQ_BP2,A22,Destination,A13,2000.0
118,Source,384PP_AQ_BP2,A22,Destination,A13,960.0
119,Source,384PP_AQ_BP2,A03,Destination,A14,7.5
120,Source,384PP_AQ_BP2,A04,Destination,A14,100.0
121,Source,384PP_AQ_BP2,A05,Destination,A14,1105.0
122,Source,384PP_AQ_BP2,A09,Destination,A14,32.5
123,Source,384PP_AQ_BP2,A10,Destination,A14,552.5
124,Source,384PP_AQ_BP2,A12,Destination,A14,790.0
125,Source,384PP_AQ_BP2,A14,Destination,A14,185.0
126,Source,384PP_AQ_BP2,A15,Destination,A14,32.5
127,Source,384PP_AQ_BP2,A16,Destination,A14,517.5
128,Source,384PP_AQ_BP2,A18,Destination,A14,310.0
129,Source,384PP_AQ_BP2,A19,Destination,A14,110.0
130,Source,384PP_AQ_BP2,A20,Destination,A14,295.0
131,Source,384PP_AQ_BP2,A21,Destination,A14,2.5
132,Source,384PP_AQ_BP2,A23,Destination,A14,1222.5
133,Source,384PP_AQ_BP2,A03,Destination,A15,5.0
134,Source,384PP_AQ_BP2,A04,Destination,A15,100.0
135,Source,384PP_AQ_BP2,A05,Destination,A15,1105.0
136,Source,384PP_AQ_BP2,A09,Destination,A15,50.0
137,Source,384PP_AQ_BP2,A10,Destination,A15,552.5
138,Source,384PP_AQ_BP2,A12,Destination,A15,592.5
139,Source,384PP_AQ_BP2,A14,Destination,A15,52.5
140,Source,384PP_AQ_BP2,A15,Destination,A15,22.5
141,Source,384PP_AQ_BP2,A16,Destination,A15,690.0
142,Source,384PP_AQ_BP2,A18,Destination,A15,220.0
143,Source,384PP_AQ_BP2,A19,Destination,A15,110.0
144,Source,384PP_AQ_BP2,A20,Destination,A15,332.5
145,Source,384PP_AQ_BP2,A21,Destination,A15,5.0
146,Source,384PP_AQ_BP2,A23,Destination,A15,1427.5
147,Source,384PP_AQ_BP2,A03,Destination,A16,5.0
148,Source,384PP_AQ_BP2,A04,Destination,A16,55.0
149,Source,384PP_AQ_BP2,A05,Destination,A16,1105.0
150,Source,384PP_AQ_BP2,A10,Destination,A16,552.5
151,Source,384PP_AQ_BP2,A12,Destination,A16,790.0
152,Source,384PP_AQ_BP2,A14,Destination,A16,105.0
153,Source,384PP_AQ_BP2,A15,Destination,A16,27.5
154,Source,384PP_AQ_BP2,A16,Destination,A16,1727.5
155,Source,384PP_AQ_BP2,A18,Destination,A16,397.5
156,Source,384PP_AQ_BP2,A19,Destination,A16,110.0
157,Source,384PP_AQ_BP2,A20,Destination,A16,185.0
158,Source,384PP_AQ_BP2,A21,Destination,A16,2.5
159,Source,384PP_AQ_BP2,A23,Destination,A16,200.0
160,Source,384PP_AQ_BP2,A03,Destination,A17,27.5
161,Source,384PP_AQ_BP2,A04,Destination,A17,277.5
162,Source,384PP_AQ_BP2,A23,Destination,A17,2000.0
163,Source,384PP_AQ_BP2,A23,Destination,A17,2000.0
164,Source,384PP_AQ_BP2,A23,Destination,A17,960.0
165,Source,384PP_AQ_BP2,A03,Destination,A18,7.5
166,Source,384PP_AQ_BP2,A04,Destination,A18,100.0
167,Source,384PP_AQ_BP2,A05,Destination,A18,1105.0
168,Source,384PP_AQ_BP2,A09,Destination,A18,32.5
169,Source,384PP_AQ_BP2,A10,Destination,A18,552.5
170,Source,384PP_AQ_BP2,A12,Destination,A18,592.5
171,Source,384PP_AQ_BP2,A14,Destination,A18,185.0
172,Source,384PP_AQ_BP2,A15,Destination,A18,32.5
173,Source,384PP_AQ_BP2,A16,Destination,A18,517.5
174,Source,384PP_AQ_BP2,A18,Destination,A18,310.0
175,Source,384PP_AQ_BP2,A19,Destination,A18,110.0
176,Source,384PP_AQ_BP2,A20,Destination,A18,295.0
177,Source,384PP_AQ_BP2,A21,Destination,A18,2.5
178,Source,384PP_AQ_BP2,A23,Destination,A18,1420.0
179,Source,384PP_AQ_BP2,A03,Destination,A19,27.5
180,Source,384PP_AQ_BP2,A04,Destination,A19,277.5
181,Source,384PP_AQ_BP2,A23,Destination,A19,2000.0
182,Source,384PP_AQ_BP2,A23,Destination,A19,2000.0
183,Source,384PP_AQ_BP2,A23,Destination,A19,960.0
184,Source,384PP_AQ_BP2,A03,Destination,A20,5.0
185,Source,384PP_AQ_BP2,A04,Destination,A20,67.5
186,Source,384PP_AQ_BP2,A05,Destination,A20,1105.0
187,Source,384PP_AQ_BP2,A09,Destination,A20,37.5
188,Source,384PP_AQ_BP2,A10,Destination,A20,552.5
189,Source,384PP_AQ_BP2,A12,Destination,A20,1382.5
190,Source,384PP_AQ_BP2,A14,Destination,A20,185.0
191,Source,384PP_AQ_BP2,A15,Destination,A20,45.0
192,Source,384PP_AQ_BP2,A16,Destination,A20,690.0
193,Source,384PP_AQ_BP2,A18,Destination,A20,132.5
194,Source,384PP_AQ_BP2,A19,Destination,A20,110.0
195,Source,384PP_AQ_BP2,A20,Destination,A20,147.5
196,Source,384PP_AQ_BP2,A21,Destination,A20,5.0
197,Source,384PP_AQ_BP2,A23,Destination,A20,797.5
198,Source,384PP_AQ_BP2,A03,Destination,A21,5.0
199,Source,384PP_AQ_BP2,A04,Destination,A21,100.0
200,Source,384PP_AQ_BP2,A05,Destination,A21,1105.0
201,Source,384PP_AQ_BP2,A09,Destination,A21,50.0
202,Source,384PP_AQ_BP2,A10,Destination,A21,552.5
203,Source,384PP_AQ_BP2,A12,Destination,A21,592.5
204,Source,384PP_AQ_BP2,A14,Destination,A21,52.5
205,Source,384PP_AQ_BP2,A15,Destination,A21,27.5
206,Source,384PP_AQ_BP2,A16,Destination,A21,690.0
207,Source,384PP_AQ_BP2,A18,Destination,A21,220.0
208,Source,384PP_AQ_BP2,A19,Destination,A21,110.0
209,Source,384PP_AQ_BP2,A20,Destination,A21,332.5
