,Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
0,Source,384PP_AQ_BP2,A03,Destination,A01,27.5
1,Source,384PP_AQ_BP2,A04,Destination,A01,270
4,Source,384PP_AQ_BP2,A03,Destination,A02,7.5
5,Source,384PP_AQ_BP2,A04,Destination,A02,25
6,Source,384PP_AQ_BP2,A05,Destination,A02,5
7,Source,384PP_AQ_BP2,A06,Destination,A02,580
8,Source,384PP_AQ_BP2,A09,Destination,A02,70
9,Source,384PP_AQ_BP2,A10,Destination,A02,5
10,Source,384PP_AQ_BP2,A11,Destination,A02,220
11,Source,384PP_AQ_BP2,A14,Destination,A02,157.5
12,Source,384PP_AQ_BP2,A15,Destination,A02,162.5
13,Source,384PP_AQ_BP2,A16,Destination,A02,5
16,Source,384PP_AQ_BP2,A03,Destination,A03,5
17,Source,384PP_AQ_BP2,A04,Destination,A03,2.5
18,Source,384PP_AQ_BP2,A05,Destination,A03,52.5
19,Source,384PP_AQ_BP2,A06,Destination,A03,1235
20,Source,384PP_AQ_BP2,A09,Destination,A03,252.5
21,Source,384PP_AQ_BP2,A10,Destination,A03,25
22,Source,384PP_AQ_BP2,A11,Destination,A03,1082.5
23,Source,384PP_AQ_BP2,A14,Destination,A03,150
24,Source,384PP_AQ_BP2,A15,Destination,A03,15
25,Source,384PP_AQ_BP2,A16,Destination,A03,2.5
27,Source,384PP_AQ_BP2,A03,Destination,A04,10
28,Source,384PP_AQ_BP2,A04,Destination,A04,2.5
29,Source,384PP_AQ_BP2,A06,Destination,A04,1047.5
30,Source,384PP_AQ_BP2,A09,Destination,A04,177.5
31,Source,384PP_AQ_BP2,A10,Destination,A04,30
32,Source,384PP_AQ_BP2,A11,Destination,A04,272.5
33,Source,384PP_AQ_BP2,A14,Destination,A04,85
34,Source,384PP_AQ_BP2,A15,Destination,A04,72.5
35,Source,384PP_AQ_BP2,A16,Destination,A04,2.5
38,Source,384PP_AQ_BP2,A04,Destination,A05,57.5
39,Source,384PP_AQ_BP2,A05,Destination,A05,25
40,Source,384PP_AQ_BP2,A06,Destination,A05,902.5
41,Source,384PP_AQ_BP2,A09,Destination,A05,240
42,Source,384PP_AQ_BP2,A10,Destination,A05,25
43,Source,384PP_AQ_BP2,A11,Destination,A05,592.5
44,Source,384PP_AQ_BP2,A14,Destination,A05,57.5
45,Source,384PP_AQ_BP2,A15,Destination,A05,160
46,Source,384PP_AQ_BP2,A16,Destination,A05,2.5
48,Source,384PP_AQ_BP2,A03,Destination,A06,5
49,Source,384PP_AQ_BP2,A04,Destination,A06,85
50,Source,384PP_AQ_BP2,A05,Destination,A06,5
51,Source,384PP_AQ_BP2,A06,Destination,A06,1422.5
52,Source,384PP_AQ_BP2,A09,Destination,A06,47.5
53,Source,384PP_AQ_BP2,A10,Destination,A06,25
54,Source,384PP_AQ_BP2,A11,Destination,A06,692.5
55,Source,384PP_AQ_BP2,A14,Destination,A06,5
56,Source,384PP_AQ_BP2,A15,Destination,A06,170
58,Source,384PP_AQ_BP2,A03,Destination,A07,2.5
59,Source,384PP_AQ_BP2,A04,Destination,A07,77.5
60,Source,384PP_AQ_BP2,A05,Destination,A07,30
61,Source,384PP_AQ_BP2,A06,Destination,A07,1092.5
62,Source,384PP_AQ_BP2,A09,Destination,A07,82.5
63,Source,384PP_AQ_BP2,A10,Destination,A07,5
64,Source,384PP_AQ_BP2,A11,Destination,A07,1470
65,Source,384PP_AQ_BP2,A14,Destination,A07,62.5
66,Source,384PP_AQ_BP2,A15,Destination,A07,92.5
67,Source,384PP_AQ_BP2,A16,Destination,A07,5
69,Source,384PP_AQ_BP2,A03,Destination,A08,5
70,Source,384PP_AQ_BP2,A04,Destination,A08,65
71,Source,384PP_AQ_BP2,A05,Destination,A08,40
72,Source,384PP_AQ_BP2,A06,Destination,A08,330
73,Source,384PP_AQ_BP2,A09,Destination,A08,195
74,Source,384PP_AQ_BP2,A10,Destination,A08,7.5
75,Source,384PP_AQ_BP2,A11,Destination,A08,335
76,Source,384PP_AQ_BP2,A14,Destination,A08,90
77,Source,384PP_AQ_BP2,A15,Destination,A08,57.5
78,Source,384PP_AQ_BP2,A16,Destination,A08,2.5
81,Source,384PP_AQ_BP2,A03,Destination,A09,10
82,Source,384PP_AQ_BP2,A04,Destination,A09,12.5
83,Source,384PP_AQ_BP2,A05,Destination,A09,15
84,Source,384PP_AQ_BP2,A06,Destination,A09,1852.5
85,Source,384PP_AQ_BP2,A09,Destination,A09,215
86,Source,384PP_AQ_BP2,A10,Destination,A09,10
87,Source,384PP_AQ_BP2,A11,Destination,A09,1342.5
88,Source,384PP_AQ_BP2,A14,Destination,A09,130
89,Source,384PP_AQ_BP2,A15,Destination,A09,195
90,Source,384PP_AQ_BP2,A16,Destination,A09,5
93,Source,384PP_AQ_BP2,A03,Destination,A11,2.5
94,Source,384PP_AQ_BP2,A04,Destination,A11,45
95,Source,384PP_AQ_BP2,A05,Destination,A11,42.5
96,Source,384PP_AQ_BP2,A06,Destination,A11,1645
97,Source,384PP_AQ_BP2,A09,Destination,A11,182.5
98,Source,384PP_AQ_BP2,A10,Destination,A11,17.5
99,Source,384PP_AQ_BP2,A11,Destination,A11,802.5
100,Source,384PP_AQ_BP2,A14,Destination,A11,180
101,Source,384PP_AQ_BP2,A15,Destination,A11,67.5
102,Source,384PP_AQ_BP2,A16,Destination,A11,2.5
106,Source,384PP_AQ_BP2,A03,Destination,A13,5
107,Source,384PP_AQ_BP2,A04,Destination,A13,90
108,Source,384PP_AQ_BP2,A05,Destination,A13,17.5
109,Source,384PP_AQ_BP2,A06,Destination,A13,1447.5
110,Source,384PP_AQ_BP2,A09,Destination,A13,72.5
111,Source,384PP_AQ_BP2,A10,Destination,A13,42.5
112,Source,384PP_AQ_BP2,A11,Destination,A13,920
113,Source,384PP_AQ_BP2,A14,Destination,A13,207.5
114,Source,384PP_AQ_BP2,A15,Destination,A13,100
115,Source,384PP_AQ_BP2,A16,Destination,A13,5
117,Source,384PP_AQ_BP2,A03,Destination,A14,2.5
118,Source,384PP_AQ_BP2,A04,Destination,A14,80
119,Source,384PP_AQ_BP2,A05,Destination,A14,22.5
120,Source,384PP_AQ_BP2,A06,Destination,A14,1430
121,Source,384PP_AQ_BP2,A09,Destination,A14,7.5
122,Source,384PP_AQ_BP2,A10,Destination,A14,52.5
123,Source,384PP_AQ_BP2,A11,Destination,A14,542.5
124,Source,384PP_AQ_BP2,A14,Destination,A14,130
125,Source,384PP_AQ_BP2,A15,Destination,A14,35
126,Source,384PP_AQ_BP2,A16,Destination,A14,2.5
128,Source,384PP_AQ_BP2,A03,Destination,A15,27.5
129,Source,384PP_AQ_BP2,A04,Destination,A15,270
132,Source,384PP_AQ_BP2,A03,Destination,A16,2.5
