SampleID,Resp,d_glucose,sodium_citrate,sodium_octanoate,sodium_acetate,sodium_benzoate,d_xylose,l_arabinose,sodium_chloride,urea,ammonium_chloride,pH,fitness_pykA_PP_1362,fitness_pykF_PP_4301,fitness_ppc_PP_1505
set10IT006__Putida,0.5235443848222346,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.116443508276788,-0.0582195679795567,0.0096288580866998
set10IT008__Putida,0.4268125959943666,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.823274700776678,-0.0072357051454852,0.208178359604959
set10IT010__Putida,0.6116616998575565,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,0.490548857356224,-0.157502672834741,-0.0749342609587909
set10IT017__Putida,0.4056855266623168,10.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.778181892128751,0.205300505259155,-0.15165134750409
set10IT018__Putida,0.3891472958640533,10.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.781633308342698,-0.116364787935165,0.0922953134571922
set10IT019__Putida,0.3737639685279929,10.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.874968656137196,0.104498790924636,-0.111863405580085
set10IT020__Putida,0.5352371166549621,10.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.34848099148762,0.296792590969605,-0.0581862867632081
set10IT021__Putida,0.6169951962706526,10.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.0251872339272299,0.477170380125097,-0.167415457655163
set10IT022__Putida,0.5251396840365415,10.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.0328797171090238,-0.0826538366842944,-0.0419834952742257
set10IT023__Putida,0.4040214091561748,10.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.646629711350798,0.0089037965940037,-0.094923602730151
set10IT024__Putida,0.4352232585498352,10.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.939413564401177,0.277278400101168,0.0801090331479255
set10IT025__Putida,0.4811198322650706,10.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.24208301274204,0.0370287206537212,-0.159537741276297
set10IT026__Putida,0.4156229110879531,10.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.508169560188378,-0.120613917320376,-0.0474918941183657
set10IT027__Putida,0.4164069065893378,10.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.708221804637729,0.159922164602063,-0.124183243176504
set10IT028__Putida,0.5321227442356243,10.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.0979393216519897,0.107944938784117,-0.134587445120693
set10IT029__Putida,0.4143967862110697,10.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-1.12162036348222,0.363612156057548,0.0757974460560396
set10IT031__Putida,0.3958472837602374,10.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.791517160212877,0.0024946512714991,0.0163428775021759
set10IT032__Putida,0.4619582245332265,10.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.301894742841071,-0.0009882076501392,-0.1520899814193
set10IT033__Putida,0.5484478948701347,10.0,0,0,0.0,0,0,0,0,0,9.5,7.0,0.161997512145692,-0.0668551114345157,-0.142472758136317
set10IT034__Putida,0.6052212795461144,10.0,0,0,0.0,0,0,0,0,0,9.5,7.0,0.0485982038207791,0.186821075728181,-0.0090781093055358
set10IT035__Putida,0.5327161195456364,10.0,0,0,0.0,0,0,0,0,0,9.5,7.0,0.307129037534691,-0.370931004830917,-0.0579786845654497
set10IT036__Putida,0.3759474857786371,10.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.960464304165795,0.175518644749319,-0.0864371000702049
set10IT037__Putida,0.4541004033253566,10.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.418464054927788,0.0416998587745792,-0.115410503272402
set10IT043__Putida,0.5818207818652311,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.0412965324850632,0.114999769440365,0.0386218197988495
set10IT044__Putida,0.5241157652804074,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.0778414486390648,-0.18032282814342,0.09582217780682
set10IT053__Putida,0.5924106580523203,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,0.326766652337549,0.173980163123896,-0.337079034142824
set12IT001__Putida,0.5795928422914497,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.0630869232250872,0.158542631794514,0.0061158258397346
set12IT002__Putida,0.7083242165139918,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,0.398381913567484,0.249513255286707,0.119038416078932
set12IT004__Putida,0.7491481916340857,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,0.505314985464097,0.455998364143612,0.048674976765585
set12IT007__Putida,0.7087001700933819,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,0.531490904589009,0.190458691068945,0.0471233685940948
set12IT008__Putida,0.3781177903008751,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.480164947896906,-0.352896384813386,-0.0274622077714541
set12IT009__Putida,0.4720691745031291,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.523531245689828,0.0674406746289007,0.0488576665718341
set12IT012__Putida,0.7258495994004842,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,0.197959841904581,0.519982362359531,0.150538981900997
set12IT014__Putida,0.7536757543360406,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,0.943332875856848,0.276676546388442,-0.181534749685905
set12IT015__Putida,0.4318443808055093,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.228006874845077,-0.369926797449029,-0.0002620321066491
set12IT016__Putida,0.4797303805952235,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,0.161025361704741,-0.425065158455608,-0.107093944075412
set12IT017__Putida,0.6566834467725337,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,0.677028150141112,-0.268472073312118,0.0778395239902792
set12IT023__Putida,0.608617079828293,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,0.0294014977239998,0.300837730238073,-0.0871697213110094
set12IT024__Putida,0.5425543846957841,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,0.232569537394292,-0.221310649254006,-0.0865257498209919
set12IT025__Putida,0.6525887587722276,0.0,0,0,0.0,10,0,0,0,0,9.5,7.0,0.205675725567015,0.220739611221657,0.0386954926024292
set12IT026__Putida,0.4419427254233938,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.0422066868711619,-0.462219890671537,-0.0455275749778146
set12IT027__Putida,0.2463924862179376,10.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-1.53649004068748,0.103396540947088,-0.156541200892152
set12IT028__Putida,0.4639306064939168,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.398804040041422,-0.200836396904709,0.153990699843232
set12IT029__Putida,0.4658413131029197,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.0343854033852082,-0.4897600949696,0.0875223366896924
set12IT031__Putida,0.5881221877129273,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.0125721342164873,0.0415173192552913,0.11388358336221
set12IT032__Putida,0.5689248462814922,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,0.358038476761408,-0.366568879210565,0.0588194438254837
set12IT034__Putida,0.6395895929178033,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,0.397408999362815,0.0947932492647454,-0.0939084472543463
set12IT037__Putida,0.5943598508805369,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,0.187605870386912,0.132371453126862,-0.146815376040573
set12IT038__Putida,0.5954253296843763,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,0.339787598288198,-0.301385816866502,0.139956026865468
set12IT039__Putida,0.6173231736371031,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,0.490719888957255,-0.26314525302433,0.0586244122374944
set12IT042__Putida,0.606129327815886,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,0.132258764819047,0.0988823132323615,-0.0003316678808791
set12IT044__Putida,0.4810399143937081,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.687478951945359,0.369496995828326,-0.0469863020736256
set12IT046__Putida,0.6629002835720507,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,0.329196485737797,0.245058763931047,-0.0553098635767775
set12IT053__Putida,0.5215263674203157,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.155025413696563,0.0478342055920979,-0.0673488358310217
set12IT054__Putida,0.577723825266031,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,0.23083165039767,-0.194910805685916,0.0566416509906964
set12IT055__Putida,0.5316496051102225,0.0,0,0,0.0,10,0,0,0,0,9.5,7.0,-0.034444486177855,-0.0475055115245531,-0.044865093801028
set12IT056__Putida,0.515954413452205,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.229955874989949,-0.133552267218489,0.162737764806232
set12IT057__Putida,0.0977417929031183,10.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-2.57347318247267,-0.290651964601898,-0.0236937802645323
set12IT058__Putida,0.4694962603500513,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.523461312239216,0.0586773082804672,0.0454146127330688
set12IT059__Putida,0.7133874322147286,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,0.41635420509323,0.390364884585805,-0.0108347347287134
set15IT054__Putida,0.4888505047739843,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.356255678542938,-0.0623823591281296,0.0904206706091697
set15IT055__Putida,0.467789683759879,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.0929904363674183,-0.396566108715312,0.062133018557873
