O2,d_glucose,sodium_citrate,sodium_octanoate,sodium_acetate,sodium_benzoate,pH,sodium_chloride,potassium_chloride,mme_trace_minerals,urea,ammonium_chloride,type,direction,frontier_type,growth_pred,var,is_redo,round
0.0,1.2000000000000002,1.6,0.2,8.4,1.5,7.0,37.5,37.5,0.4,0.25,0.7000000000000001,ROLLOUT,DOWN,FRONTIER,1.0,2.2618017196655273,False,4
0.0,2.4000000000000004,2.4000000000000004,1.0,8.4,1.75,9.0,37.5,37.5,0.8,0.45,0.6000000000000001,ROLLOUT,DOWN,FRONTIER,1.0,2.2634012699127197,False,4
0.0,1.6,1.2000000000000002,1.8,6.0,0.25,5.0,50.0,75.0,0.4,0.30000000000000004,0.1,ROLLOUT,DOWN,FRONTIER,1.0,2.263411045074463,False,4
0.0,1.2000000000000002,1.6,1.2000000000000002,4.8,1.25,7.0,50.0,25.0,0.2,0.35000000000000003,0.6000000000000001,ROLLOUT,DOWN,FRONTIER,1.0,2.2634198665618896,False,4
0.0,2.0,0.8,0.8,8.4,0.75,9.0,37.5,50.0,0.7000000000000001,0.15000000000000002,0.5,ROLLOUT,DOWN,FRONTIER,1.0,2.2634334564208984,False,4
1.0,0.0,1.2000000000000002,0.6000000000000001,10.799999999999999,1.5,5.0,37.5,25.0,0.4,0.2,0.6000000000000001,ROLLOUT,DOWN,FRONTIER,1.0,2.2634670734405518,False,4
0.0,3.2,3.6,0.8,4.8,1.5,5.0,50.0,50.0,0.4,0.4,0.6000000000000001,ROLLOUT,DOWN,FRONTIER,1.0,2.263476610183716,False,4
0.0,1.2000000000000002,1.6,1.0,9.6,0.75,9.0,37.5,37.5,0.5,0.30000000000000004,0.5,ROLLOUT,DOWN,FRONTIER,1.0,2.263524293899536,False,4
0.0,2.4000000000000004,0.8,0.8,8.4,1.0,9.0,50.0,12.5,0.2,0.30000000000000004,0.5,ROLLOUT,DOWN,FRONTIER,1.0,2.263526678085327,False,4
0.0,1.6,0.8,1.4000000000000001,3.5999999999999996,0.25,5.0,75.0,25.0,0.6000000000000001,0.0,0.2,ROLLOUT,DOWN,FRONTIER,1.0,2.263526678085327,False,4
0.0,0.4,1.2000000000000002,0.4,8.4,1.5,5.0,87.5,37.5,0.5,0.4,0.30000000000000004,ROLLOUT,DOWN,FRONTIER,1.0,2.263526678085327,False,4
0.0,2.4000000000000004,3.6,1.6,7.199999999999999,1.75,5.0,75.0,25.0,1.0,0.30000000000000004,0.9,ROLLOUT,DOWN,FRONTIER,1.0,2.263526678085327,False,4
0.0,2.0,2.0,1.6,8.4,2.25,7.0,75.0,12.5,0.8,0.45,0.6000000000000001,ROLLOUT,DOWN,FRONTIER,1.0,2.263526678085327,False,4
0.0,2.0,1.6,1.2000000000000002,2.4,0.25,5.0,62.5,50.0,0.30000000000000004,0.05,0.2,ROLLOUT,DOWN,FRONTIER,1.0,2.263526678085327,False,4
0.0,3.6,2.4000000000000004,1.2000000000000002,10.799999999999999,1.75,7.0,62.5,0.0,0.8,0.4,0.6000000000000001,ROLLOUT,DOWN,FRONTIER,1.0,2.263526678085327,False,4
1.0,3.6,2.8000000000000003,1.8,8.4,1.5,5.0,25.0,25.0,0.8,0.45,1.0,ROLLOUT,DOWN,FRONTIER,0.96549286672363,2.170565605163574,False,4
0.0,1.2000000000000002,1.6,0.4,4.8,1.25,9.0,62.5,25.0,0.30000000000000004,0.25,0.7000000000000001,ROLLOUT,DOWN,FRONTIER,0.9072933956731777,2.263526678085327,False,4
0.0,3.6,1.6,1.2000000000000002,8.4,1.5,7.0,25.0,25.0,0.5,0.2,0.5,ROLLOUT,DOWN,FRONTIER,0.9009098443717003,1.5784802436828613,False,4
0.0,2.8000000000000003,2.0,1.2000000000000002,6.0,1.5,7.0,25.0,25.0,0.6000000000000001,0.4,0.6000000000000001,ROLLOUT,DOWN,FRONTIER,0.6747615137139618,1.2511727809906006,False,4
0.0,0.8,2.4000000000000004,1.6,8.4,1.25,5.0,50.0,25.0,0.7000000000000001,0.2,0.6000000000000001,ROLLOUT,DOWN,FRONTIER,0.5740899517204088,2.1798903942108154,False,4
1.0,3.6,3.6,1.6,12.0,2.5,7.0,25.0,12.5,0.7000000000000001,0.5,0.9,ROLLOUT,DOWN,FRONTIER,0.38251358872496755,2.1967971324920654,False,4
0.0,2.0,1.6,1.0,7.199999999999999,0.5,9.0,37.5,25.0,0.8,0.1,0.30000000000000004,ROLLOUT,DOWN,BEYOND,0.24485509860276444,2.249459981918335,False,4
0.0,4.0,4.0,2.0,10.799999999999999,2.5,9.0,0.0,0.0,1.0,0.5,1.0,ROLLOUT,DOWN,BEYOND,0.2290067052468907,0.4583650827407837,False,4
0.0,1.6,0.8,1.8,6.0,0.25,5.0,50.0,75.0,0.4,0.30000000000000004,0.1,ROLLOUT,DOWN,BEYOND,0.22756918894098854,2.2634804248809814,False,4
0.0,4.0,2.8000000000000003,1.2000000000000002,10.799999999999999,2.25,9.0,12.5,12.5,0.9,0.5,1.0,ROLLOUT,DOWN,BEYOND,0.2194367146662186,1.4871385097503662,False,4
0.0,1.2000000000000002,1.6,0.2,8.4,1.5,7.0,37.5,50.0,0.4,0.25,0.7000000000000001,ROLLOUT,DOWN,BEYOND,0.21848431414929093,2.2534210681915283,False,4
0.0,2.0,2.0,0.8,9.6,1.75,9.0,25.0,0.0,1.0,0.2,0.8,ROLLOUT,DOWN,BEYOND,0.1824736564040812,1.6935557126998901,False,4
1.0,3.6,4.0,2.0,12.0,2.25,9.0,25.0,0.0,1.0,0.5,1.0,ROLLOUT,DOWN,BEYOND,0.18221074909291968,1.766434669494629,False,4
0.0,3.6,4.0,1.8,9.6,2.25,9.0,12.5,12.5,0.8,0.45,0.8,ROLLOUT,DOWN,BEYOND,0.11412770064468258,1.4721884727478027,False,4
0.0,2.0,2.8000000000000003,0.8,8.4,1.0,7.0,37.5,12.5,0.8,0.2,0.30000000000000004,ROLLOUT,DOWN,BEYOND,0.10349889955030278,1.917195200920105,False,4
0.0,2.0,2.0,1.6,8.4,2.25,5.0,75.0,12.5,0.8,0.45,0.6000000000000001,ROLLOUT,DOWN,BEYOND,0.08410058880279436,2.263526678085327,False,4
0.0,1.2000000000000002,1.6,1.0,9.6,0.75,9.0,37.5,37.5,0.5,0.25,0.5,ROLLOUT,DOWN,BEYOND,0.06167539766105712,2.263524293899536,False,4
0.0,3.2,4.0,1.8,10.799999999999999,2.5,9.0,12.5,12.5,0.8,0.45,0.9,ROLLOUT,DOWN,BEYOND,0.0,0.921464204788208,False,4
0.0,3.6,3.6,1.4000000000000001,10.799999999999999,2.0,9.0,12.5,12.5,0.7000000000000001,0.4,0.7000000000000001,ROLLOUT,DOWN,BEYOND,0.0,1.0585538148880005,False,4
1.0,3.6,4.0,2.0,9.6,2.5,9.0,0.0,0.0,1.0,0.5,1.0,ROLLOUT,DOWN,BEYOND,0.0,1.2717342376708984,False,4
0.0,3.6,3.2,1.4000000000000001,7.199999999999999,2.0,7.0,37.5,12.5,0.8,0.45,0.7000000000000001,ROLLOUT,DOWN,BEYOND,0.0,1.4296220541000366,False,4
0.0,3.6,3.2,1.6,8.4,2.5,7.0,25.0,25.0,1.0,0.45,0.8,ROLLOUT,DOWN,BEYOND,0.0,1.6188137531280518,False,4
0.0,3.6,1.6,1.2000000000000002,8.4,1.5,7.0,37.5,25.0,0.5,0.2,0.5,ROLLOUT,DOWN,BEYOND,0.0,1.6793334484100342,False,4
