feature,bad,plate_control,plate_blank,parent_plate,experiment_number,strain,environment
0.14300000000000002,0,True,False,Plate_Round1_1$b7ed3bc2325940c7c95e6bdb6b96f542a2c72268,9999,P_putida_AG5577,PH5
0.024000000000000007,0,False,True,Plate_Round1_1$b7ed3bc2325940c7c95e6bdb6b96f542a2c72268,9999,P_putida_AG5577,PH5
-0.0030000000000000027,1,False,False,Plate_Round1_1$b7ed3bc2325940c7c95e6bdb6b96f542a2c72268,76,P_putida_AG5577,PH5
0.013000000000000012,0,False,True,Plate_Round1_1$b7ed3bc2325940c7c95e6bdb6b96f542a2c72268,9999,P_putida_AG5577,PH5
0.0030000000000000027,1,False,False,Plate_Round1_1$b7ed3bc2325940c7c95e6bdb6b96f542a2c72268,90,P_putida_AG5577,PH5
0.0030000000000000027,1,False,False,Plate_Round1_1$b7ed3bc2325940c7c95e6bdb6b96f542a2c72268,38,P_putida_AG5577,PH5
0.11600000000000002,0,True,False,Plate_Round1_1$b7ed3bc2325940c7c95e6bdb6b96f542a2c72268,9999,P_putida_AG5577,PH5
0.0010000000000000009,1,False,False,Plate_Round1_1$b7ed3bc2325940c7c95e6bdb6b96f542a2c72268,43,P_putida_AG5577,PH5
0.0,1,False,False,Plate_Round1_1$b7ed3bc2325940c7c95e6bdb6b96f542a2c72268,47,P_putida_AG5577,PH5
0.0,1,False,False,Plate_Round1_1$b7ed3bc2325940c7c95e6bdb6b96f542a2c72268,34,P_putida_AG5577,PH5
0.013000000000000012,0,False,True,Plate_Round1_1$b7ed3bc2325940c7c95e6bdb6b96f542a2c72268,9999,P_putida_AG5577,PH5
0.0010000000000000009,1,False,False,Plate_Round1_1$b7ed3bc2325940c7c95e6bdb6b96f542a2c72268,80,P_putida_AG5577,PH5
0.0,1,False,False,Plate_Round1_1$b7ed3bc2325940c7c95e6bdb6b96f542a2c72268,94,P_putida_AG5577,PH5
0.14300000000000002,0,True,False,Plate_Round1_1$b7ed3bc2325940c7c95e6bdb6b96f542a2c72268,9999,P_putida_AG5577,PH5
0.0030000000000000027,0,False,True,Plate_Round1_1$b7ed3bc2325940c7c95e6bdb6b96f542a2c72268,9999,P_putida_AG5577,PH5
0.131,0,True,False,Plate_Round1_1$b7ed3bc2325940c7c95e6bdb6b96f542a2c72268,9999,P_putida_AG5577,PH5
0.0050000000000000044,1,False,False,Plate_Round1_1$b7ed3bc2325940c7c95e6bdb6b96f542a2c72268,22,P_putida_AG5577,PH5
0.006000000000000005,1,False,False,Plate_Round1_1$b7ed3bc2325940c7c95e6bdb6b96f542a2c72268,56,P_putida_AG5577,PH5
0.0,1,False,False,Plate_Round1_1$b7ed3bc2325940c7c95e6bdb6b96f542a2c72268,9,P_putida_AG5577,PH5
0.0030000000000000027,1,False,False,Plate_Round1_1$b7ed3bc2325940c7c95e6bdb6b96f542a2c72268,99,P_putida_AG5577,PH5
0.048000000000000015,1,False,False,Plate_Round1_1$b7ed3bc2325940c7c95e6bdb6b96f542a2c72268,87,P_putida_AG5577,PH5
0.0020000000000000018,1,False,False,Plate_Round1_1$b7ed3bc2325940c7c95e6bdb6b96f542a2c72268,27,P_putida_AG5577,PH5
